route_key,service,method,path,normalized_path,frontend_call_sites,handler,handler_file,handler_line,handler_service_calls,store_calls,receiver_client_calls,internal_package_calls,external_package_calls
auth|GET|/scim/v2/Users,auth,GET,/scim/v2/Users,/scim/v2/Users,,handleSCIMListUsers,services/auth/handler_scim.go,610,,ListSCIMUsers,,,"sort.Slice, strings.ToLower"
auth|POST|/scim/v2/Users,auth,POST,/scim/v2/Users,/scim/v2/Users,,handleSCIMCreateUser,services/auth/handler_scim.go,662,,UpsertSCIMUser,,,strings.TrimSpace
auth|GET|/scim/v2/Users/{param},auth,GET,/scim/v2/Users/{id},/scim/v2/Users/{param},,handleSCIMGetUser,services/auth/handler_scim.go,645,,GetSCIMUserByID,,,errors.Is
auth|PUT|/scim/v2/Users/{param},auth,PUT,/scim/v2/Users/{id},/scim/v2/Users/{param},,handleSCIMReplaceUser,services/auth/handler_scim.go,719,,"GetSCIMUserByID, UpsertSCIMUser",,,strings.TrimSpace
auth|PATCH|/scim/v2/Users/{param},auth,PATCH,/scim/v2/Users/{id},/scim/v2/Users/{param},,handleSCIMPatchUser,services/auth/handler_scim.go,775,,ApplySCIMUserPatch,,,"encoding/json.Unmarshal, strings.ToLower, strings.TrimSpace"
auth|DELETE|/scim/v2/Users/{param},auth,DELETE,/scim/v2/Users/{id},/scim/v2/Users/{param},,handleSCIMDeleteUser,services/auth/handler_scim.go,859,,DeprovisionSCIMUser,,,
auth|GET|/scim/v2/Groups,auth,GET,/scim/v2/Groups,/scim/v2/Groups,,handleSCIMListGroups,services/auth/handler_scim.go,881,,"ListSCIMGroups, GetSCIMGroupByID",,,
auth|POST|/scim/v2/Groups,auth,POST,/scim/v2/Groups,/scim/v2/Groups,,handleSCIMCreateGroup,services/auth/handler_scim.go,950,,"UpsertSCIMGroup, ReplaceSCIMGroupMembers, GetSCIMGroupByID",,,strings.TrimSpace
auth|GET|/scim/v2/Groups/{param},auth,GET,/scim/v2/Groups/{id},/scim/v2/Groups/{param},,handleSCIMGetGroup,services/auth/handler_scim.go,914,,GetSCIMGroupByID,,,
auth|PUT|/scim/v2/Groups/{param},auth,PUT,/scim/v2/Groups/{id},/scim/v2/Groups/{param},,handleSCIMReplaceGroup,services/auth/handler_scim.go,996,,"UpsertSCIMGroup, ReplaceSCIMGroupMembers, GetSCIMGroupByID",,,strings.TrimSpace
auth|PATCH|/scim/v2/Groups/{param},auth,PATCH,/scim/v2/Groups/{id},/scim/v2/Groups/{param},,handleSCIMPatchGroup,services/auth/handler_scim.go,1037,,"GetSCIMGroupByID, UpsertSCIMGroup, ReplaceSCIMGroupMembers",,,"encoding/json.Unmarshal, strings.ToLower, strings.TrimSpace"
auth|DELETE|/scim/v2/Groups/{param},auth,DELETE,/scim/v2/Groups/{id},/scim/v2/Groups/{param},,handleSCIMDeleteGroup,services/auth/handler_scim.go,1094,,DeleteSCIMGroup,,,
autokey|GET|/autokey/settings,autokey,GET,/autokey/settings,/autokey/settings,web/dashboard/src/lib/autokey.ts:159,handleGetSettings,services/autokey/handler.go,93,GetSettings,,,,
autokey|PUT|/autokey/settings,autokey,PUT,/autokey/settings,/autokey/settings,web/dashboard/src/lib/autokey.ts:164,handlePutSettings,services/autokey/handler.go,104,UpdateSettings,UpsertSettings,,,
autokey|GET|/autokey/summary,autokey,GET,/autokey/summary,/autokey/summary,web/dashboard/src/lib/autokey.ts:172,handleGetSummary,services/autokey/handler.go,120,GetSummary,"ListTemplates, ListServicePolicies, ListRequests, ListHandles",,,"sort.Slice, strings.ToLower, strings.TrimSpace"
autokey|GET|/autokey/templates,autokey,GET,/autokey/templates,/autokey/templates,web/dashboard/src/lib/autokey.ts:177,handleListTemplates,services/autokey/handler.go,131,ListTemplates,ListTemplates,,,
autokey|POST|/autokey/templates,autokey,POST,/autokey/templates,/autokey/templates,,handleUpsertTemplate,services/autokey/handler.go,142,UpsertTemplate,UpsertTemplate,,,
autokey|PUT|/autokey/templates/{param},autokey,PUT,/autokey/templates/{id},/autokey/templates/{param},,handleUpsertTemplate,services/autokey/handler.go,142,UpsertTemplate,UpsertTemplate,,,
autokey|DELETE|/autokey/templates/{param},autokey,DELETE,/autokey/templates/{id},/autokey/templates/{param},web/dashboard/src/lib/autokey.ts:192,handleDeleteTemplate,services/autokey/handler.go,159,DeleteTemplate,DeleteTemplate,,,
autokey|GET|/autokey/service-policies,autokey,GET,/autokey/service-policies,/autokey/service-policies,web/dashboard/src/lib/autokey.ts:198,handleListServicePolicies,services/autokey/handler.go,169,ListServicePolicies,ListServicePolicies,,,
autokey|POST|/autokey/service-policies,autokey,POST,/autokey/service-policies,/autokey/service-policies,,handleUpsertServicePolicy,services/autokey/handler.go,180,UpsertServicePolicy,UpsertServicePolicy,,,
autokey|PUT|/autokey/service-policies/{param},autokey,PUT,/autokey/service-policies/{service},/autokey/service-policies/{param},,handleUpsertServicePolicy,services/autokey/handler.go,180,UpsertServicePolicy,UpsertServicePolicy,,,
autokey|DELETE|/autokey/service-policies/{param},autokey,DELETE,/autokey/service-policies/{service},/autokey/service-policies/{param},web/dashboard/src/lib/autokey.ts:213,handleDeleteServicePolicy,services/autokey/handler.go,197,DeleteServicePolicy,DeleteServicePolicy,,,
autokey|GET|/autokey/requests,autokey,GET,/autokey/requests,/autokey/requests,web/dashboard/src/lib/autokey.ts:231,handleListRequests,services/autokey/handler.go,227,ListRequests,ListRequests,,,"strconv.Atoi, strings.TrimSpace"
autokey|POST|/autokey/requests,autokey,POST,/autokey/requests,/autokey/requests,web/dashboard/src/lib/autokey.ts:219,handleCreateRequest,services/autokey/handler.go,207,CreateRequest,"GetHandleByBinding, CreateRequest, GetRequest, UpdateRequest",s.governance.CreateApprovalRequest,,strings.EqualFold
autokey|GET|/autokey/requests/{param},autokey,GET,/autokey/requests/{id},/autokey/requests/{param},web/dashboard/src/lib/autokey.ts:236,handleGetRequest,services/autokey/handler.go,244,GetRequest,GetRequest,,,
autokey|GET|/autokey/handles,autokey,GET,/autokey/handles,/autokey/handles,web/dashboard/src/lib/autokey.ts:245,handleListHandles,services/autokey/handler.go,255,ListHandles,ListHandles,,,"strconv.Atoi, strings.TrimSpace"
backup|GET|/healthz,backup,GET,/healthz,/healthz,,handleHealth,services/backup/handler.go,66,,,,,
backup|GET|/backup/policies,backup,GET,/backup/policies,/backup/policies,web/dashboard/src/lib/backup.ts:66,handleListPolicies,services/backup/handler.go,70,,ListPolicies,,,
backup|POST|/backup/policies,backup,POST,/backup/policies,/backup/policies,web/dashboard/src/lib/backup.ts:71,handleCreatePolicy,services/backup/handler.go,84,audit,CreatePolicy,,,"strings.TrimSpace, time.Now"
backup|PATCH|/backup/policies/{param},backup,PATCH,/backup/policies/{id},/backup/policies/{param},web/dashboard/src/lib/backup.ts:75,handleUpdatePolicy,services/backup/handler.go,141,audit,UpdatePolicy,,,"errors.Is, strings.TrimSpace"
backup|DELETE|/backup/policies/{param},backup,DELETE,/backup/policies/{id},/backup/policies/{param},web/dashboard/src/lib/backup.ts:79,handleDeletePolicy,services/backup/handler.go,173,audit,DeletePolicy,,,"errors.Is, strings.TrimSpace"
backup|POST|/backup/policies/{param}/trigger,backup,POST,/backup/policies/{id}/trigger,/backup/policies/{param}/trigger,web/dashboard/src/lib/backup.ts:83,handleTriggerBackup,services/backup/handler.go,198,audit,GetPolicy,,,"errors.Is, strings.TrimSpace"
backup|GET|/backup/runs,backup,GET,/backup/runs,/backup/runs,web/dashboard/src/lib/backup.ts:87,handleListRuns,services/backup/handler.go,230,,ListRuns,,,
backup|GET|/backup/runs/{param},backup,GET,/backup/runs/{id},/backup/runs/{param},web/dashboard/src/lib/backup.ts:92,handleGetRun,services/backup/handler.go,244,,GetRun,,,"errors.Is, strings.TrimSpace"
